City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,cidreira,-30.1811,-50.2056,294.81,80,78,6.29,BR,1682286221
144,mount gambier,-37.8333,140.7667,284.6,82,0,2.32,AU,1682286210
145,kalmar,56.6616,16.3616,281.11,93,77,2.06,SE,1682286395
146,cermik,38.1361,39.4493,285.99,79,39,1.4,TR,1682286396
147,melfort,52.8667,-104.6177,281.22,27,15,3.09,CA,1682286398
148,trairi,-3.2778,-39.2689,298.07,87,99,3.3,BR,1682286273
149,killin,33.6123,-91.7412,285.2,58,100,2.57,US,1682286400
150,kieta,-6.2167,155.6333,301.58,78,37,1.1,PG,1682286401
151,saint-philippe,-21.3585,55.7679,298.92,74,100,2.81,RE,1682286225
152,taman,45.2117,36.7161,283.32,78,25,3.28,RU,1682286403
153,kendari,-3.945,122.4989,297.04,95,83,0.99,ID,1682286404
154,matara,5.9485,80.5353,298.99,89,100,0.8,LK,1682286336
155,tiksi,71.6872,128.8694,261.54,96,80,1.71,RU,1682286262
156,alta floresta,-9.8756,-56.0861,295.99,93,87,1.06,BR,1682286407
157,te anau,-45.4167,167.7167,279.36,82,91,0.39,NZ,1682286408
158,marsa matruh,31.3525,27.2453,291.26,77,0,2.06,EG,1682286410
159,rocha,-34.4833,-54.3333,290.09,96,100,2.53,UY,1682286282
160,key largo,25.0865,-80.4473,301.15,65,16,2.7,US,1682286413
161,ancud,-41.8697,-73.8203,283.75,82,89,0.71,CL,1682286414
162,saint anthony,45.0205,-93.218,280.31,44,100,5.66,US,1682286415
163,londa,15.4691,74.5191,292.33,70,3,0.94,IN,1682286416
164,highland,34.1283,-117.2086,303.44,38,3,2.68,US,1682286334
165,hambantota,6.1241,81.1185,298.34,100,20,1.03,LK,1682286418
166,am timan,11.0297,20.2827,301.02,57,100,6.07,TD,1682286419
167,ilulissat,69.2167,-51.1,274.16,93,100,1.54,GL,1682286200
168,aleksandrov gay,50.147,48.5704,286.77,58,100,1.86,RU,1682286421
169,nanortalik,60.1432,-45.2371,274.02,85,91,2.56,GL,1682286423
170,san patricio,28.017,-97.5169,295.07,86,100,4.71,US,1682286221
171,nouadhibou,20.931,-17.0347,294.14,73,0,7.2,MR,1682286425
172,seoul,37.5683,126.9778,285.91,47,0,3.6,KR,1682286013
173,marawi,7.9986,124.2928,293.53,94,54,0.65,PH,1682286428
174,mackenzie,55.2999,-123.1698,279.27,81,100,3.09,CA,1682286338
175,phonhong,18.5007,102.4166,296.04,85,81,0.46,LA,1682286430
176,georgetown,5.4112,100.3354,299.11,94,20,2.06,MY,1682286096
177,saint george,37.1041,-113.5841,298.39,21,0,3.6,US,1682285992
178,ceres,37.5949,-120.9577,299.38,44,0,4.63,US,1682286156
179,anadyr,64.75,177.4833,267.43,85,75,9.0,RU,1682286436
180,ferkessedougou,9.6,-5.2,300.63,64,61,5.02,CI,1682286437
181,goure,13.9835,10.2704,303.64,11,43,3.42,NE,1682286438
182,coquimbo,-29.9533,-71.3436,291.0,67,0,4.63,CL,1682286236
183,tomatlan,19.9333,-105.25,303.59,37,39,3.88,MX,1682286359
184,atar,20.5169,-13.0499,301.02,19,0,3.39,MR,1682286442
185,arman,59.7,150.1667,274.73,62,72,8.95,RU,1682286337
186,thompson,55.7435,-97.8558,275.24,48,20,4.12,CA,1682285928
187,souillac,-20.5167,57.5167,298.36,83,40,1.54,MU,1682286229
188,bushehr,28.9684,50.8385,296.2,68,0,0.0,IR,1682286449
189,carutapera,-1.195,-46.02,297.85,93,100,3.16,BR,1682286450
190,lazaro cardenas,17.9583,-102.2,302.02,58,3,3.92,MX,1682286311
191,priargunsk,50.3691,119.1012,273.44,26,100,2.6,RU,1682286452
192,kifri,34.6959,44.9661,296.97,42,65,4.85,IQ,1682286453
193,port blair,11.6667,92.75,300.9,74,88,0.99,IN,1682286454
194,statesboro,32.4488,-81.7832,299.04,22,0,1.54,US,1682286456
195,coihaique,-45.5752,-72.0662,287.49,71,75,2.06,CL,1682286342
